"","Reference","Human_mf_intensity_per1mL","Human_mf_intensity_per20uL","Mosquito_species","Mosquito_totaldissected","Mosquito_mf_infected_count","Mosquito_mf_infected_proportion","mf_mean_arithmetic_pertotaldissectedmosquito","Mosquito_larvae_infected_count","Mosquito_larvae_infected_proportion_fromtotaldissected","Larvae_mean_arithmetic_perdissectedmosquito","Human_mf20uL_log_calculated","Human_mf20uL_calculated","mfE_log_mean_calculated","mfE_mean_calculated","Larvae_mean_calculated"
"151","(Muirhead-Thomson, 1954)",NA,65,"An. gambiae",59,NA,NA,NA,11,0.186440677966102,0.76271186440678,NA,NA,0.726979808753912,5.33310100224855,1.39036060408588
"152","(Muirhead-Thomson, 1954)",NA,22,"An. gambiae",54,NA,NA,NA,2,0.037037037037037,0.037037037037037,NA,NA,0.543395552844677,3.49458455270213,0.547573356518546
"153","(Muirhead-Thomson, 1954)",NA,52,"An. gambiae",51,NA,NA,NA,7,0.137254901960784,0.254901960784314,NA,NA,0.688777314311539,4.88401865729544,1.15117447151648
"154","(Muirhead-Thomson, 1954)",NA,37,"An. gambiae",50,NA,NA,NA,1,0.02,0.04,NA,NA,0.630835912844963,4.27401372873041,0.859537839129021
"155","(Muirhead-Thomson, 1954)",NA,16,"An. gambiae",35,NA,NA,NA,3,0.0857142857142857,1.7,NA,NA,0.49075270807431,3.09565609756051,0.415642859598916
"156","(Muirhead-Thomson, 1954)",NA,26,"An. gambiae",37,NA,NA,NA,1,0.027027027027027,2,NA,NA,0.571319560029376,3.72665818180432,0.633061638350081
"157","(Muirhead-Thomson, 1954)",NA,37,"An. gambiae",25,NA,NA,NA,3,0.12,2.3,NA,NA,0.630835912844963,4.27401372873041,0.859537839129021
"158","(Muirhead-Thomson, 1954)",NA,41,"An. gambiae",26,NA,NA,NA,3,0.115384615384615,3,NA,NA,0.648265656051181,4.44903329688349,0.93910616299589
"159","(Muirhead-Thomson, 1954)",NA,44,"An. gambiae",23,NA,NA,NA,1,0.0434782608695652,3,NA,NA,0.660280908625535,4.57383937212399,0.997894307003147
"160","(Muirhead-Thomson, 1954)",NA,58,"An. gambiae",9,NA,NA,NA,1,0.111111111111111,1,NA,NA,0.707454347270122,5.0986399821358,1.26301691349483
"161","(Muirhead-Thomson, 1954)",NA,63,"An. gambiae",16,NA,NA,NA,1,0.0625,1,NA,NA,0.721620860169161,5.26769789696493,1.35430958041643
"162","(Muirhead-Thomson, 1954)",NA,97,"An. gambiae",18,NA,NA,NA,2,0.111111111111111,3,NA,NA,0.795824346954313,6.24919889003664,1.93464319802835
"163","(Muirhead-Thomson, 1954)",NA,98,"An. gambiae",25,NA,NA,NA,1,0.04,1,NA,NA,0.79759240363524,6.27469186664979,1.95074867894931
"164","(Muirhead-Thomson, 1954)",NA,120,"An. gambiae",11,NA,NA,NA,2,0.181818181818182,1.5,NA,NA,0.832539624098519,6.80048088304234,2.29283087252654
"165","(Muirhead-Thomson, 1954)",NA,141,"An. gambiae",26,NA,NA,NA,8,0.307692307692308,2.4,NA,NA,0.860410316699228,7.25120722711825,2.59931941091348
"166","(Muirhead-Thomson, 1954)",NA,189,"An. gambiae",24,NA,NA,NA,14,0.583333333333333,1.5,NA,NA,0.911122884583707,8.14934839015475,3.23716008175764
"167","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,70,"An. arabiensis",89,NA,NA,NA,81,0.910112359550562,7.3,NA,NA,0.739697288437972,5.49157966817985,1.47936450037292
"168","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,70,"An. gambiae",96,NA,NA,NA,41,0.427083333333333,3,NA,NA,0.739697288437972,5.49157966817985,1.47936450037292
"169","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,110,"An. arabiensis",29,NA,NA,NA,28,0.96551724137931,6.8,NA,NA,0.817517205095072,6.5692714091477,2.14016438585159
"170","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,110,"An. gambiae",45,NA,NA,NA,20,0.444444444444444,2.5,NA,NA,0.817517205095072,6.5692714091477,2.14016438585159
"171","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,30,"An. arabiensis",33,NA,NA,NA,9,0.272727272727273,3.5,NA,NA,0.595378729829166,3.9389342350113,0.716800415732826
"172","(Brunhes, Rabenirainy & Ravaonjanahary, 1969)",NA,30,"An. gambiae",34,NA,NA,NA,5,0.147058823529412,1.8,NA,NA,0.595378729829166,3.9389342350113,0.716800415732826
"173","(Brengues & Coz, 1972)",NA,232,"An. gambiae",9,NA,NA,NA,8,0.888888888888889,10.7777777777778,NA,NA,0.946652414933056,8.84407496096917,3.74626854358508
"174","(Brengues & Coz, 1972)",NA,232,"An. arabiensis",4,NA,NA,NA,3,0.75,2.5,NA,NA,0.946652414933056,8.84407496096917,3.74626854358508
"175","(Brengues & Coz, 1972)",NA,232,"An. gambiae",25,NA,NA,NA,23,0.92,19.52,NA,NA,0.946652414933056,8.84407496096917,3.74626854358508
"176","(Brengues & Coz, 1972)",NA,232,"An. arabiensis",13,NA,NA,NA,11,0.846153846153846,13.0769230769231,NA,NA,0.946652414933056,8.84407496096917,3.74626854358508
"177","(Brengues & Coz, 1972)",NA,150,"An. gambiae",30,NA,NA,NA,20,0.666666666666667,5.9,NA,NA,0.871112446466183,7.43211543504056,2.72522773133871
"178","(Brengues & Coz, 1972)",NA,150,"An. arabiensis",12,NA,NA,NA,8,0.666666666666667,2.75,NA,NA,0.871112446466183,7.43211543504056,2.72522773133871
"179","(Brengues & Coz, 1972)",NA,155,"An. gambiae",61,NA,NA,NA,30,0.491803278688525,3.37704918032787,NA,NA,0.876785654541762,7.52983837847027,2.79384841124759
"180","(Brengues & Coz, 1972)",NA,155,"An. arabiensis",11,NA,NA,NA,10,0.909090909090909,7.81818181818182,NA,NA,0.876785654541762,7.52983837847027,2.79384841124759
"181","(Brengues & Coz, 1972)",NA,220,"An. gambiae",8,NA,NA,NA,6,0.75,7.75,NA,NA,0.937443992349352,8.65852653739396,3.60946226415355
"182","(Brengues & Coz, 1972)",NA,220,"An. gambiae",36,NA,NA,NA,32,0.888888888888889,7.77777777777778,NA,NA,0.937443992349352,8.65852653739396,3.60946226415355
"183","(Brengues & Coz, 1972)",NA,220,"An. arabiensis",34,NA,NA,NA,31,0.911764705882353,8.79411764705882,NA,NA,0.937443992349352,8.65852653739396,3.60946226415355
"184","(Brengues & Coz, 1972)",NA,289,"An. arabiensis",22,NA,NA,NA,18,0.818181818181818,27.2727272727273,NA,NA,0.984764287759104,9.65526699559381,4.34720034927565
"185","(Brengues & Coz, 1972)",NA,289,"An. melas",5,NA,NA,NA,4,0.8,18.4,NA,NA,0.984764287759104,9.65526699559381,4.34720034927565
